name;position
Knight, Mr. George;Victualling crew
Knight, Mr. Leonard George;Victualling crew
Lacey, Mr. Bert W.;Victualling crew
Lake, Mr. William;Victualling crew
Lane, Mr. Albert Edward;Victualling crew
Latimer, Mr. Andrew L.;Victualling crew
Lavington, Miss Bessie;Victualling crew
Lawrence, Mr. Arthur;Victualling crew
Leader, Mr. Archie;Victualling crew
Leather, Mrs Elizabeth May;Victualling crew
Lefebvre, Mr. Paul Georges;Victualling crew
Leonard, Mr. Matthew;Victualling crew
Levett, Mr. George Alfred;Victualling crew
Lewis, Mr. Arthur Ernest;Victualling crew
Light, Mr. C.;Victualling crew
Littlejohn, Mr. Alexander James;Victualling crew
Lloyd, Mr. Humphrey;Victualling crew
Locke, Mr. A.;Victualling crew
Longmuir, Mr. John Dickson;Victualling crew
Lovell, Mr. John;Victualling crew
Lucas, Mr. William;Victualling crew
Lydiatt, Mr. Charles;Victualling crew
Mabey, Mr. J.;Victualling crew
Mackay, Mr. Charles Donald;Victualling crew
Mackie, Mr. George William;Victualling crew
Major, Mr. Thomas Edgar;Victualling crew
Mantle, Mr. Roland Frederick;Victualling crew
Marks, Mr. J.;Victualling crew
Marriott, Mr. J.W.;Victualling crew
Marsden, Miss Evelyn;Victualling crew
Martin, Mrs. Annie;Victualling crew
Martin, Mr. F.;Victualling crew
Maynard, Mr. Isaac Hiram;Victualling crew
Maytum, Mr. Alfred;Victualling crew
McCarthy, Mr. Frederick;Victualling crew
McCawley, Mr. Thomas W.;Victualling crew
McElroy, Mr. Hugh Walter;Victualling crew
McGrady, Mr. James;Victualling crew
McLaren, Mrs.;Victualling crew
McMicken, Mr. Arthur;Victualling crew
McMicken, Mr. Benjamin Tucker;Victualling crew
McMullin, Mr. James;Victualling crew
McMurray, Mr. William Ernest;Victualling crew
Mellor, Mr. Arthur;Victualling crew
Middleton, Mr. M.V.;Victualling crew
Mills, Mr. Christopher;Victualling crew
Mishellamy, Mr. Abraham;Victualling crew
Moore, Mr. Alfred Ernest;Victualling crew
Morgan (Bird), Mr. Charles Frederick;Victualling crew
Morris, Mr. Frank Herbert;Victualling crew
Moss, Mr. William;Victualling crew
Mullen, Mr. Thomas A.;Victualling crew
Neal, Mr. Henry;Victualling crew
Nicholls, Mr. Sidney;Victualling crew
Nichols, Mr. A. D.;Victualling crew
Nichols, Mr. Walter Henry;Victualling crew
O'Connor, Mr. Thomas Peter;Victualling crew
Olive, Mr. Ernest Roskelly;Victualling crew
Orpet, Mr. Walter Hayward;Victualling crew
Orr, Mr. J.;Victualling crew
Osbourne, Mr. William Edward;Victualling crew
Owen, Mr. Lewis;Victualling crew
Pacey, Mr. Reginald Ivan;Victualling crew
Paintin, Mr. James Arthur;Victualling crew
Parsons, Mr. Edward;Victualling crew
Parsons, Mr. Richard;Victualling crew
Pearce, Mr. Alfred Ernest;Victualling crew
Pearcey, Mr. Albert Victor;Victualling crew
Pennal, Mr. Thomas Francis;Victualling crew
Penny, Mr. William Far;Victualling crew
Penrose, Mr. John Poole;Victualling crew
Perkins, Mr. Laurence Alexander;Victualling crew
Perrin, Mr. William Charles;Victualling crew
Perriton, Mr. Hubert Prouse;Victualling crew
Petty, Mr. Edwin Henry;Victualling crew
Pfropper, Mr. Richard;Victualling crew
Phillimore, Mr. Harold Charles William;Victualling crew
"Phillips, Mr. John George ""Jack""";Victualling crew
Platt, Mr. W.;Victualling crew
Pook, Mr. P.;Victualling crew
Port, Mr. Frank;Victualling crew
Porteus, Mr. Thomas;Victualling crew
Prentice, Mr. Frank Winnold;Victualling crew
Prichard, Mrs. Alice;Victualling crew
"Prideaux, Mr. John Arthur ""Jack""";Victualling crew
Prior, Mr. Harold John;Victualling crew
Proctor, Mr. Charles;Victualling crew
Pryce, Mr. Charles William;Victualling crew
Pugh, Mr. Alfred;Victualling crew
Pusey, Mr. John E.;Victualling crew
Randall, Mr. Frank Henry;Victualling crew
Ransom, Mr. James;Victualling crew
Rattonbury, Mr. William Henry;Victualling crew
Ray, Mr. Frederick Dent;Victualling crew
Reed, Mr. Charles S.;Victualling crew
Revell, Mr. William;Victualling crew
Rice, Mr. John Reginald;Victualling crew
Rice, Mr. John Reginald;Victualling crew
Ricks, Mr. Cyril G.;Victualling crew
Ridout, Mr. W.;Victualling crew
Rimmer, Mr. Gilbert;Victualling crew
Roberton, Mr. George Edward;Victualling crew
Roberts, Mr. Frank John;Victualling crew
Roberts, Mr. Hugh H.;Victualling crew
Roberts, Mrs. Mary Kezziah (née Humphrys);Victualling crew
Robinson, Mrs. Annie;Victualling crew
Robinson, Mr. James William;Victualling crew
Rogers, Mr. Edward James William;Victualling crew
Rogers, Mr. Michael;Victualling crew
Ross, Mr. Horace Leopold;Victualling crew
Rowe, Mr. Edward M.;Victualling crew
Rule, Mr. Samuel James;Victualling crew
Russell, Mr. Boysie Richard;Victualling crew
Ryan, Mr. Tom;Victualling crew
Ryerson, Mr. William Edwy;Victualling crew
Samuel, Mr. Owen Wilmore;Victualling crew
Saunders, Mr. D. E.;Victualling crew
Savage, Mr. Charles J.;Victualling crew
Scott, Mr. John;Victualling crew
Scovell, Mr. Robert;Victualling crew
Sedunary, Mr. Sidney Francis;Victualling crew
Shea, Mr. John;Victualling crew
Slight, Mr. Harry John;Victualling crew
Sloan, Miss Mary;Victualling crew
Slocombe, Mrs Maud (née Waldon);Victualling crew
Smillie, Mr. John;Victualling crew
Smith, Mr. Charles Edward;Victualling crew
Smith, Mr. F;Victualling crew
Smith, Miss Katherine E.;Victualling crew
Snape, Mrs Lucy Violet;Victualling crew
Stap, Miss Sarah Agnes;Victualling crew
Stone, Mr. Edmond J.;Victualling crew
Stone, Mr. Edward Thomas;Victualling crew
Talbot, Mr. George Frederick Charles.;Victualling crew
Taylor, Mr. William;Victualling crew
Teuton, Mr. Thomas Moore;Victualling crew
Turner, Mr. Leopold[24];Victualling crew
Veal, Mr. Thomas H.E.;Victualling crew
Wake, Mr. T.;Victualling crew
Wallis, Mrs Catherine Jane;Victualling crew
Walpole, Mr. James;Victualling crew
Walsh, Miss Catherine;Victualling crew
Ward, Mr. Edward;Victualling crew
Ward, Mr. Percy T.;Victualling crew
Ward, Mr. William;Victualling crew
Wareham, Mr. Robert Arthur;Victualling crew
Warwick, Mr. Thomas;Victualling crew
Weatherston, Mr. Thomas;Victualling crew
Weikman, Mr. Augustus Henry;Victualling crew
White, Mr. Arthur;Victualling crew
White, Mr Edward Joseph;Victualling crew
White, Mr. L.;Victualling crew
Whiteley, Mr. Thomas;Victualling crew
Whitford, Mr. A.H.;Victualling crew
Whittman, Mr. Henry;Victualling crew
Widgery, Mr. James G.;Victualling crew
Wildebank, Mr. Alfred E.;Victualling crew
Williams, Mr. Walter J.;Victualling crew
Willis, Mr. William;Victualling crew
Wiltshire, Mr. W.;Victualling crew
Witter, Mr. James W.C.;Victualling crew
Wood, Mr. J.T.;Victualling crew
Wormald, Mr. Frederick William;Victualling crew
Wrapson, Mr. Frederick B.;Victualling crew
Wright, Mr. Frederick;Victualling crew
Wright, Mr. William;Victualling crew
Yearsley, Mr. Harry;Victualling crew
Yoshack, Mr. James A.;Victualling crew
Duffy, Mr. William Luke;engineer
